Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
632532,"Blizzard of the Blue Moon (Magic Tree House, #36)",Mary Pope Osborne,"Osborne, Mary Pope",Salvatore Murdocca,"=""0739336819""","=""9780739336816""",5,4.10,Imagination Studio,Audio CD,116,2006,2006,2006/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
41707,"Atlantis Found (Dirk Pitt, #15)",Clive Cussler,"Cussler, Clive",,"=""0425204030""","=""9780425204030""",5,3.99,Berkley Trade,Paperback,530,2004,1999,2011/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
263922,Sender Unknown,Sallie Lowenstein,"Lowenstein, Sallie",,"=""0965848647""","=""9780965848640""",5,4.20,Lion Stone Books,Hardcover,258,2002,2002,2010/01/01,2018/08/31,,,read,,,,1,,,0,,,,,
259836,"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786915749""","=""9780786915743""",4,3.99,Wizards of the Coast,Paperback,444,2000,1984,2011/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
252938,"Twilight (Warriors: The New Prophecy, #5)",Erin Hunter,"Hunter, Erin",,"=""0060827645""","=""9780060827649""",5,4.32,HarperCollins,Hardcover,320,2006,2006,2009/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
212682,"Shadowgate (Dragons of Deltora, #2)",Emily Rodda,"Rodda, Emily",Marc McBride,"=""0439633745""","=""9780439633741""",5,3.99,Scholastic Paperbacks,Paperback,195,2004,2004,2008/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
245462,"Dragon's Nest (Dragons of Deltora, #1)",Emily Rodda,"Rodda, Emily",,"=""1865046132""","=""9781865046136""",5,3.93,Scholastic Press,Paperback,178,2003,2004,2008/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
212679,"Isle of the Dead (Dragons of Deltora, #3)",Emily Rodda,"Rodda, Emily",,"=""0439633753""","=""9780439633758""",5,3.99,Scholastic Paperbacks,Mass Market Paperback,208,2004,2004,2008/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
216729,Mechanics of Materials,Russell C. Hibbeler,"Hibbeler, Russell C.",,"=""013191345X""","=""9780131913455""",5,4.09,Prentice Hall,Hardcover,896,2004,1985,2017/12/01,2018/08/30,,,read,,,,1,,,0,,,,,
1105380,"The Charm Bracelet (Fairy Realm, #1)",Emily Rodda,"Rodda, Emily",Raoul Vitale,"=""0060095849""","=""9780060095840""",4,3.86,HarperCollins Publishers,Hardcover,128,2003,2001,2010/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
119494,"The Lake of Tears (Deltora Quest, #2)",Emily Rodda,"Rodda, Emily",,"=""0439253241""","=""9780439253246""",5,3.95,Scholastic Paperbacks,Mass Market Paperback,129,2001,2000,2009/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
198332,"Inca Gold (Dirk Pitt, #12)",Clive Cussler,"Cussler, Clive",,"=""0743426800""","=""9780743426800""",5,3.98,Pocket Books,Paperback,592,2001,1994,2011/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
212672,"The Cavern of the Fear (Deltora Shadowlands, #1)",Emily Rodda,"Rodda, Emily",Marc McBride,"=""0439394910""","=""9780439394918""",5,3.88,Scholastic Paperbacks,Paperback,144,2002,2002,2008/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
186569,"The Princess, the Crone, and the Dung-Cart Knight (The Squire's Tales, #6)",Gerald Morris,"Morris, Gerald",,"=""0618737480""","=""9780618737482""",5,4.17,HMH Books for Young Readers,Paperback,320,2006,2004,2010/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
181399,"Viking Ships At Sunrise (Magic Tree House, #15)",Mary Pope Osborne,"Osborne, Mary Pope",Salvatore Murdocca,"=""0679890610""","=""9780679890614""",5,3.85,Random House Books for Young Readers,Paperback,73,1998,1998,2007/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
181397,"Winter of the Ice Wizard (Magic Tree House, #32)",Mary Pope Osborne,"Osborne, Mary Pope",Salvatore Murdocca,"=""0375827366""","=""9780375827365""",5,4.01,Random House Books for Young Readers,Hardcover,110,2004,2004,2007/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
560637,"The Patchwork Girl of Oz (Oz, #7)",L. Frank Baum,"Baum, L. Frank",John R. Neill,"=""0688133541""","=""9780688133542""",5,3.88,Books of Wonder,Hardcover,346,1995,1913,2010/01/01,2018/08/31,,,read,,,,1,,,0,,,,,
116597,"Dorothy and the Wizard in Oz (Oz, #4)",L. Frank Baum,"Baum, L. Frank",,"=""1421976951""","=""9781421976952""",5,3.77,IndyPublish.com,Paperback,148,2006,1908,2010/01/01,2018/08/31,,,read,,,,1,,,0,,,,,
170543,Dont Sweat The Small Stuff,Richard Carlson,"Carlson, Richard",,"=""0340708018""","=""9780340708019""",5,3.98,Hodder & Stoughton,Paperback,272,1998,1997,2014/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
155238,The Forests of Silence (Deltora Quest #1),Emily Rodda,"Rodda, Emily",,"=""0545010314""","=""9780545010313""",5,3.91,Scholastic Inc.,Paperback,131,2007,2000,2009/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
871143,"Encyclopedia Brown Gets His Man (Encyclopedia Brown, #4)",Donald J. Sobol,"Sobol, Donald J.",,"=""0553157221""","=""9780553157222""",5,4.03,Yearling,Paperback,128,1982,1967,2007/01/01,2018/08/31,,,read,,,,1,,,0,,,,,
526643,"Twister on Tuesday (Magic Tree House, #23)",Mary Pope Osborne,"Osborne, Mary Pope",Salvatore Murdocca,"=""0679890696""","=""9780679890690""",5,3.91,Random House Books for Young Readers,Paperback,96,2010,2001,2007/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
127335,"Tonight on the Titanic (Magic Tree House, #17)",Mary Pope Osborne,"Osborne, Mary Pope",Salvatore Murdocca,"=""0439086728""","=""9780679890638""",5,4.04,Random House Books for Young Readers,Paperback,96,1999,1999,2007/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
126574,"Vacation Under the Volcano (Magic Tree House, #13)",Mary Pope Osborne,"Osborne, Mary Pope",Salvatore Murdocca,"=""0679890505""","=""9780679890508""",5,3.98,Random House Children's Books,Paperback,74,1998,1998,2007/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
119493,"City of the Rats (Deltora Quest, #3)",Emily Rodda,"Rodda, Emily",,"=""043925325X""","=""9780439253253""",5,3.95,Scholastic Paperbacks,Mass Market Paperback,132,2001,2000,2008/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
119492,"The Valley of the Lost (Deltora Quest, #7)",Emily Rodda,"Rodda, Emily",,"=""0439253292""","=""9780439253291""",5,4.06,Scholastic Paperbacks,Mass Market Paperback,144,2001,2000,2008/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
119490,"The Shifting Sands (Deltora Quest, #4)",Emily Rodda,"Rodda, Emily",,"=""0439253268""","=""9780439253260""",5,3.97,Scholastic Paperbacks,Mass Market Paperback,131,2001,2000,2008/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
119489,"The Maze of the Beast (Deltora Quest, #6)",Emily Rodda,"Rodda, Emily",,"=""0439253284""","=""9780439253284""",5,3.98,Scholastic Paperbacks,Mass Market Paperback,144,2001,2000,2008/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
111021,"Dawn (Warriors: The New Prophecy, #3)",Erin Hunter,"Hunter, Erin",,"=""006074457X""","=""9780060744571""",5,4.33,HarperCollins,Paperback,335,2006,2005,2010/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
105660,"Urchin and the Heartstone (The Mistmantle Chronicles, #2)",M.I. McAllister,"McAllister, M.I.","Omar Rayyan, Margaret McAllister","=""078685488X""","=""9780786854882""",4,4.17,Miramax Books,Hardcover,297,2006,2006,2010/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
18396,The Seven Songs of Merlin,T.A. Barron,"Barron, T.A.",,"=""0441007015""","=""9780441007011""",5,4.11,Ace,Mass Market Paperback,304,2000,1997,2010/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
7770,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,"Seuss, Dr.",,"=""0007173687""","=""9780007173686""",5,4.13,Harper Collins Children's Books,Hardcover,64,2003,1960,2004/01/01,2018/08/31,,,read,,,,1,,,0,,,,,
99714,"The Floating Island (The Lost Journals of Ven Polypheme, #1)",Elizabeth Haydon,"Haydon, Elizabeth",Brett Helquist,"=""0765308673""","=""9780765308672""",5,3.93,Starscape,Hardcover,368,2006,2006,2010/01/01,2018/08/31,,,read,,,,1,,,0,,,,,
94319,"Ark Angel (Alex Rider, #6)",Anthony Horowitz,"Horowitz, Anthony",,"=""0142407380""","=""9780142407387""",5,4.12,Speak/Puffin/Penguin Group,Paperback,323,2007,2005,2011/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
23772,Green Eggs and Ham,Dr. Seuss,"Seuss, Dr.",,"=""0394800168""","=""9780394800165""",5,4.30,Random House Books for Young Readers,Hardcover,62,1988,1960,2004/01/01,2018/08/31,,,read,,,,1,,,0,,,,,
41706,"Raise the Titanic! (Dirk Pitt, #4)",Clive Cussler,"Cussler, Clive",,"=""0425194523""","=""9780425194522""",5,3.98,G.P. Putnam's Sons,Mass Market Paperback,545,2004,1976,2013/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
948526,"The Knight at Dawn (Magic Tree House, #2)",Mary Pope Osborne,"Osborne, Mary Pope",Salvatore Murdocca,"=""067982412X""","=""9780679824121""",5,3.89,Random House,Paperback,66,1993,1993,2006/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
24101635,Thermodynamics: An Engineering Approach,Yunus A. Cengel,"Cengel, Yunus A.",,"=""""","=""""",5,4.10,SEM,Kindle Edition,1024,2014,1997,2017/12/01,2018/08/30,,,read,,,,1,,,0,,,,,
35805,"The Capture (Guardians of Ga'Hoole, #1)",Kathryn Lasky,"Lasky, Kathryn",,"=""0439405572""","=""9780439405577""",5,3.90,Scholastic Paperbacks,Paperback,222,2003,2003,2009/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
34596,"Treasure of Khan (Dirk Pitt, #19)",Clive Cussler,"Cussler, Clive",Dirk Cussler,"=""0399153691""","=""9780399153693""",5,3.91,G.P. Putnam's Sons,Hardcover,552,2006,2006,2011/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
24233,"The Return of Meteor Boy? (The Extraordinary Adventures of Ordinary Boy, #2)",William Boniface,"Boniface, William",Stephen Gilpin,"=""0060774673""","=""9780060774677""",5,4.33,HarperCollins,Hardcover,352,2007,2007,2009/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
24065,Radio Fifth Grade,Gordon Korman,"Korman, Gordon",,"=""0590419277""","=""9780590419277""",4,3.54,Scholastic Paperbacks,Paperback,192,1991,1989,2008/01/01,2018/08/31,,,read,,,,1,,,0,,,,,
14660,"Encyclopedia Brown and the Case of the Jumping Frogs (Encyclopedia Brown, #23)",Donald J. Sobol,"Sobol, Donald J.",Robert Papp,"=""0553487582""","=""9780553487589""",5,4.00,Yearling,Paperback,80,2005,2003,2007/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
14657,"Encyclopedia Brown and the Case of the Slippery Salamander (Encyclopedia Brown, #22)",Donald J. Sobol,"Sobol, Donald J.",Warren Chang,"=""0553485210""","=""9780553485219""",5,4.08,Yearling,Paperback,96,2003,1999,2007/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
7992,The Great Redwall Feast,Brian Jacques,"Jacques, Brian",Christopher Denise,"=""0698118766""","=""9780698118768""",5,3.99,Puffin,Paperback,64,2000,1996,2008/01/01,2018/08/31,,,read,,,,1,,,0,,,,,
7029,"The First Collier (Guardians of Ga'Hoole, #9)",Kathryn Lasky,"Lasky, Kathryn",,"=""0439795680""","=""9780439795685""",5,4.01,Scholastic,Paperback,179,2006,2005,2010/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
35808,"The Golden Tree (Guardians of Ga'Hoole, #12)",Kathryn Lasky,"Lasky, Kathryn",,"=""0439888069""","=""9780439888066""",5,4.03,Scholastic,Paperback,192,2007,2007,2009/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"Riordan, Rick",,"=""0786856866""","=""9780786856862""",5,4.24,Hyperion Books,Hardcover,279,2006,2006,2008/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
44369,"The Flower Fairies (Fairy Realm, #2)",Emily Rodda,"Rodda, Emily",Raoul Vitale,"=""0060095865""","=""9780060095864""",4,3.90,HarperCollins Publishers,Hardcover,128,2003,2001,2009/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
45438,Legend of the Worst Boy in the World,Eoin Colfer,"Colfer, Eoin",Glenn McCoy,"=""0786855037""","=""9780786855032""",5,3.76,Hyperion Books for Children,Hardcover,101,2007,2007,2009/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
47878,"Charlie Bone and the Beast (The Children of the Red King, #6)",Jenny Nimmo,"Nimmo, Jenny",,"=""043984665X""","=""9780439846653""",5,3.94,Orchard Books,Hardcover,389,2007,2007,2010/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
59263,"The Golem's Eye (Bartimaeus, #2)",Jonathan Stroud,"Stroud, Jonathan",,"=""0786836547""","=""9780786836543""",5,4.10,"Little, Brown Books for Young Readers",Paperback,562,2006,2004,2011/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
7028,"The Shattering (Guardians of Ga'Hoole, #5)",Kathryn Lasky,"Lasky, Kathryn",,"=""0439405610""","=""9780439405614""",5,4.07,Scholastic Paperbacks,Paperback,176,2004,2004,2010/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
7005865,The Atlantis Complex (Artemis Fowl #7),Eoin Colfer,"Colfer, Eoin",,"=""1423128192""","=""9781423128199""",5,3.98,Disney/Hyperion Books,Hardcover,357,2010,2010,2011/01/01,2018/08/30,,,read,,,,1,,,0,,,,,
12935037,Principles (Summary),Ray Dalio,"Dalio, Ray",,"=""""","=""""",0,4.17,www.bwater.com,ebook,106,2011,2011,,2019/03/15,currently-reading,currently-reading (#11),currently-reading,,,,1,,,0,,,,,
4813,1421: The Year China Discovered America,Gavin Menzies,"Menzies, Gavin",,"=""006054094X""","=""9780060540944""",0,3.60,Harper Perennial (NYC),Paperback,650,2004,2002,,2020/02/15,currently-reading,currently-reading (#10),currently-reading,,,,1,,,0,,,,,
