Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1145236,The Guns of Tortuga,Brad Strickland,"Strickland, Brad",Thomas E. Fuller,0689852975,9780689852978,5,4,Aladdin,Paperback,208,2003,2003,1/1/2009,2/19/2020,,,read,,,,1,,,0,,,,,
3276072,Scat,Carl Hiaasen,"Hiaasen, Carl",,0375834869,9780375834868,4,3.95,Alfred A. Knopf Books for Young Readers,Hardcover,384,2009,2009,1/1/2009,2/19/2020,,,read,,,,1,,,0,,,,,
13083,Hoot,Carl Hiaasen,"Hiaasen, Carl",,0440421705,9780440421702,4,3.82,Yearling Books,Paperback,292,2006,2002,1/1/2009,2/19/2020,,,read,,,,1,,,0,,,,,
2195510,Mutiny!,Brad Strickland,"Strickland, Brad",,0689852967,9780689852961,5,3.74,Aladdin Paperbacks,Paperback,191,2002,2002,1/1/2009,2/19/2020,,,read,,,,1,,,0,,,,,
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"Riordan, Rick",,1423140591,9781423140597,5,4.44,Disney-Hyperion Books,Hardcover,521,2011,2011,1/1/2011,2/17/2020,,,read,,,,1,,,0,,,,,
29396,"Furies of Calderon (Codex Alera, #1)",Jim Butcher,"Butcher, Jim",,044101268X,9780441012688,5,4.12,Ace,Paperback,504,2005,2004,1/1/2011,2/16/2020,,,read,,,,1,,,0,,,,,
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"Riordan, Rick",,1423140605,9781423140603,5,4.46,Disney-Hyperion Books,Hardcover,586,2012,2012,1/1/2012,2/17/2020,,,read,,,,1,,,0,,,,,
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,,,4,4.26,Modern Library,Paperback,279,2000,1813,1/1/2012,11/7/2017,,,read,,,,1,,,0,,,,,
140963,"O Pioneers! (Great Plains Trilogy, #1)",Willa Cather,"Cather, Willa",,0679743626,9780679743620,3,3.87,Vintage,Paperback,159,1992,1913,1/1/2012,2/18/2020,,,read,,,,1,,,0,,,,,
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William","Paul Werstine, Barbara A. Mowat",0743477111,9780743477116,4,3.74,Simon Schuster,Paperback,368,2004,1595,1/1/2014,11/7/2017,,,read,,,,1,,,0,,,,,
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,1400069289,9781400069286,5,4.1,Random House,Hardcover,375,2012,2012,1/1/2016,11/7/2017,,,read,,,,1,,,0,,,,,
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,"Stanley, Thomas J.",William D. Danko,0671015206,9780671015206,5,4.03,Gallery Books,Paperback,258,1998,1995,1/1/2016,11/7/2017,,,read,,,,1,,,0,,,,,
141565,This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin,"Levitin, Daniel J.",,0525949690,9780525949695,5,3.87,Dutton Adult,Hardcover,314,2006,2006,1/1/2017,11/7/2017,,,read,,,,1,,,0,,,,,
15014,Crucial Conversations: Tools for Talking When Stakes Are High,Kerry Patterson,"Patterson, Kerry","Joseph Grenny, Ron McMillan, Al Switzler, Stephen R. Covey",0071401946,9780071401944,4,4.03,McGraw-Hill Education,Paperback,240,2002,2001,,11/7/2017,,,read,,,,1,,,0,,,,,
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,,,4,3.96,Harper,ebook,224,2016,2016,1/1/2019,10/13/2019,,,read,,,,1,,,0,,,,,
1052,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,0451205367,9780451205360,5,4.26,Berkley Books,Paperback,194,2008,1926,3/24/2019,8/31/2018,,,read,,,,1,,,0,,,,,
